game_id,home_team,away_team,predicted_winner,actual_winner,prediction_correct,predicted_home_win,predicted_away_win,predicted_draw,predicted_home_win_percent,predicted_away_win_percent,predicted_draw_percent,predicted_home_5v5_goals_mean,predicted_home_powerplay_goals_mean,predicted_home_total_goals_mean,predicted_home_5v5_xgf_p60_mean,predicted_home_powerplay_xgf_p60_mean,predicted_home_5v5_toi_mean,predicted_home_powerplay_toi_mean,predicted_home_shorthanded_toi_mean,predicted_away_5v5_goals_mean,predicted_away_powerplay_goals_mean,predicted_away_total_goals_mean,predicted_away_5v5_xgf_p60_mean,predicted_away_powerplay_xgf_p60_mean,predicted_away_5v5_toi_mean,predicted_away_powerplay_toi_mean,predicted_away_shorthanded_toi_mean
2025020215,CGY,CBJ,CGY,CGY,1,5460,4511,29,0.546,0.4511,0.0029,2.2437436613598267,1.2491462564573677,3.4928899178171946,2.9435,11.2068,45.712692383948266,6.6791543779956335,3.3307532380561025,2.196423542256506,1.0766904305962979,3.273113972852804,2.8816,19.3516,45.712692383948266,3.3307532380561025,6.6791543779956335
2025020313,VGK,NYR,NYR,VGK,0,4349,5596,55,0.4349,0.5596,0.0055,1.642440776662004,0.8807151317725489,2.523155908434553,2.1066,10.2591,46.84014950330274,5.1441269670394565,3.9187235296578096,2.2089833647239043,0.6308467588461086,2.839830123570013,2.8309,9.6753,46.84014950330274,3.9187235296578096,5.1441269670394565
2025020675,SJS,CBJ,CBJ,SJS,0,4591,5342,67,0.4591,0.5342,0.0067,2.08604480342849,0.7996810678341713,2.8857258712626614,2.7628,7.9002,45.27055051838572,6.074777186497655,4.357872295116627,2.4121117525058176,0.6817061260497754,3.093817878555593,3.1959,9.3702,45.27055051838572,4.357872295116627,6.074777186497655
2025020701,BUF,ANA,BUF,BUF,1,5314,4641,45,0.5314,0.4641,0.0045,2.3613977330851075,0.6938984614535542,3.0552961945386614,3.1255,7.1314,45.30142944104324,5.844361921493114,4.837808637463647,2.087445512929361,0.7987235058107254,2.886169018740086,2.7647,9.9142,45.30142944104324,4.837808637463647,5.844361921493114
2025020474,EDM,BUF,BUF,BUF,1,3066,6898,36,0.3066,0.6898,0.0036,1.8858941959980184,0.8586765707076814,2.7445707667056998,2.4128,12.5251,46.87143168130073,4.101969004354629,4.997999314344645,2.6837393718035507,1.11238707391251,3.7961264457160606,3.4366,13.351,46.87143168130073,4.997999314344645,4.101969004354629
2025020295,SEA,SJS,SEA,SEA,1,7269,2697,34,0.7269,0.2697,0.0034,1.5142584348906385,1.6978062252338717,3.21206466012451,2.0053,14.5992,45.325760170847815,6.977192965291535,4.204846863860649,1.358963324295292,0.8138109762633646,2.1727743005586566,1.7992,11.6243,45.325760170847815,4.204846863860649,6.977192965291535
2025020463,CGY,BUF,BUF,CGY,0,4210,5735,55,0.421,0.5735,0.0055,2.0443449746547206,0.6658414011584575,2.710186375813178,2.6851,8.3247,45.682871770403274,4.792385667519891,5.334742562076835,2.1413428067905946,0.9160162147936064,3.0573590215842006,2.8156,10.3041,45.682871770403274,5.334742562076835,4.792385667519891
2025020208,MIN,NSH,NSH,MIN,0,3573,6397,30,0.3573,0.6397,0.003,2.2188569003941727,0.7079774207266831,2.926834321120856,2.9041,7.1708,45.843537515125334,5.902420299113942,3.6941421857607297,2.4740879612847397,1.1932398108166078,3.667327772101348,3.2359,19.4163,45.843537515125334,3.6941421857607297,5.902420299113942
2025020765,VGK,NSH,VGK,VGK,1,6134,3829,37,0.6134,0.3829,0.0037,2.2639052618675963,0.9412304914029223,3.2051357532705183,2.854,12.9892,47.60627470760125,4.344200884355416,3.8400244080433295,2.2048307153997757,0.44304303577378523,2.647873751173561,2.7779,6.905,47.60627470760125,3.8400244080433295,4.344200884355416
2025020510,CAR,PHI,CAR,CAR,1,7708,2257,35,0.7708,0.2257,0.0035,2.9067772481482144,0.9071285895134159,3.8139058376616304,3.6457,9.3537,47.808870048937344,5.805046832222746,2.6049831188399084,1.9204264615509423,0.3750315318708185,2.2954579934217607,2.4098,8.6348,47.808870048937344,2.6049831188399084,5.805046832222746
2025020526,MIN,WSH,WSH,MIN,0,4662,5300,38,0.4662,0.53,0.0038,1.9750405504259194,0.9555740598024393,2.930614610228359,2.6149,8.3997,45.38353435247341,6.8520777989616075,3.6672878485649862,2.398858316379433,0.7029486098846347,3.101806926264068,3.1689,11.5283,45.38353435247341,3.6672878485649862,6.8520777989616075
2025020214,WSH,STL,STL,WSH,0,4090,5874,36,0.409,0.5874,0.0036,2.548238273709886,0.6196742663720844,3.16791254008197,3.4513,5.7073,44.287908868173496,6.497989088843673,5.594302042982829,2.6727876460050335,0.9530156910325943,3.6258033370376275,3.6181,10.23,44.287908868173496,5.594302042982829,6.497989088843673
2025020760,PIT,CBJ,PIT,CBJ,0,5288,4674,38,0.5288,0.4674,0.0038,2.3441480185855967,1.1058983336134207,3.450046352199017,3.0909,11.8621,45.44365010345277,5.578796584163186,5.107353312384047,2.4700957791468974,0.8231460895602289,3.293241868707126,3.2624,9.7005,45.44365010345277,5.107353312384047,5.578796584163186
2025020726,PIT,TBL,TBL,TBL,1,4215,5745,40,0.4215,0.5745,0.004,1.8752984296186477,1.0637591968614448,2.9390576264800927,2.5563,10.4829,44.02212615362258,6.103442757467632,5.944731088909788,2.4531241556956145,0.8822723042498283,3.3353964599454424,3.3428,8.9008,44.02212615362258,5.944731088909788,6.103442757467632
2025020723,COL,TOR,COL,TOR,0,6917,3031,52,0.6917,0.3031,0.0052,2.5776049610914695,0.8029118846047921,3.3805168456962615,3.4191,7.9143,45.256275741582314,6.083254054704887,4.802970203712799,1.8881105821099762,0.50973669342959,2.3978472755395663,2.5054,6.357,45.256275741582314,4.802970203712799,6.083254054704887
2025020227,DET,NYR,NYR,NYR,1,2408,7551,41,0.2408,0.7551,0.0041,1.3746674328600552,0.7109013858139052,2.0855688186739605,1.7477,7.6115,47.19296023711962,5.622858428425301,4.1686813344550755,2.6014071975381734,0.7929207897019324,3.3943279872401058,3.3069,11.3941,47.19296023711962,4.1686813344550755,5.622858428425301
2025020342,SJS,OTT,OTT,OTT,1,2617,7332,51,0.2617,0.7332,0.0051,1.3511743475161606,0.4424568914003604,1.793631238916521,1.7648,6.2419,45.94786170487148,4.24251593204559,5.57282236308293,2.1170319953487673,0.7392134673351743,2.8562454626839413,2.7628,7.9699,45.94786170487148,5.57282236308293,4.24251593204559
2025020316,BUF,CGY,CGY,CGY,1,3592,6361,47,0.3592,0.6361,0.0047,1.5338712990927017,0.7250772996536599,2.2589485987463616,2.1269,7.4348,43.30460562120738,5.851787943273626,6.372106435518997,1.883561327980128,0.9906348443207426,2.8741961723008704,2.6059,9.358,43.30460562120738,6.372106435518997,5.851787943273626
2025020243,SJS,FLA,FLA,SJS,0,4188,5766,46,0.4188,0.5766,0.0046,1.7063897784410291,0.7603837553544409,2.4667735337954704,2.4011,6.3072,42.603264224414296,7.247173225580568,5.803462550005141,2.1820625520883046,0.6525216905414863,2.834584242629791,3.0729,6.7417,42.603264224414296,5.803462550005141,7.247173225580568
2025020870,UTA,DAL,DAL,DAL,1,4582,5367,51,0.4582,0.5367,0.0051,2.256461426486301,0.6528518020543316,2.9093132285406327,2.9258,7.8472,46.23984296009914,4.995482006923269,4.262175032977592,1.9408322991968388,1.1271675388127365,3.067999838009575,2.5199,15.8623,46.23984296009914,4.262175032977592,4.995482006923269
2025020719,PHI,TBL,TBL,TBL,1,4331,5623,46,0.4331,0.5623,0.0046,1.649034537027091,0.9397913958324956,2.5888259328595864,2.1865,9.4237,45.309243907269256,5.979294808488022,4.860361284242723,2.168372043204702,0.7106625627000838,2.8790346059047858,2.8694,8.7809,45.309243907269256,4.860361284242723,5.979294808488022
2025020381,NYI,PHI,NYI,PHI,0,6277,3685,38,0.6277,0.3685,0.0038,2.6198177706744024,0.7236561613271784,3.343473932001581,3.2701,8.7402,48.090268258732955,4.966028469193247,3.0793032720738034,2.0640279585271215,0.5979791116968353,2.662007070223957,2.5756,11.6542,48.090268258732955,3.0793032720738034,4.966028469193247
2025020112,OTT,PHI,OTT,OTT,1,6573,3386,41,0.6573,0.3386,0.0041,2.4617424826775016,0.8120050006943363,3.2737474833718383,3.2431,7.7499,45.53367648674814,6.274745474336329,4.124778038915528,1.8270305655296553,0.6534965919342118,2.4805271574638676,2.4039,9.4937,45.53367648674814,4.124778038915528,6.274745474336329
2025020271,OTT,BOS,OTT,OTT,1,7064,2880,56,0.7064,0.288,0.0056,2.1546079061404617,0.8645614618082642,3.019169367948726,2.8963,7.1763,44.63332521632509,7.225817180769871,4.465457602905043,1.5865943307284336,0.4907200290644645,2.077314359792898,2.1341,6.6198,44.63332521632509,4.465457602905043,7.225817180769871
2025020123,BUF,TOR,BUF,BUF,1,5165,4812,23,0.5165,0.4812,0.0023,2.167132631655008,0.5000972845282599,2.6672299161832678,3.1411,4.6593,41.368596629590115,6.430323355552333,4.463380014857554,1.6287585146822554,0.9422796578143862,2.571038172496641,2.3603,12.6342,41.368596629590115,4.463380014857554,6.430323355552333
